route_name,direction_id,direction_name,direction_do
345,1,White Rock Centre,1
350,0,White Rock Centre,0
350,1,Crescent Beach,1
351,0,Bridgeport Station,0
351,1,White Rock Centre,1
352,0,Bridgeport Station,0
352,1,Ocean Park,1
354,0,Bridgeport Station,0
354,1,White Rock South,1
360,0,Peace Arch Hospital,0
360,1,Ocean Park,1
361,0,White Rock Centre,0
361,1,Ocean Park,1
362,0,White Rock Centre,0
362,1,Seaside,1
363,0,Southpoint,0
363,1,Peace Arch Hospital,1
364,0,Langley Centre,0
364,1,Scottsdale,1
370,0,Willowbrook,0
370,1,Cloverdale,1
371,0,Surrey Central Station,0
371,1,Scott Road Station,1
372,0,Langley Centre,0
372,1,Clayton Heights,1
373,0,Guildford,0
373,1,Surrey Central Station,1
375,0,Guildford,0
375,1,White Rock South,1
388,0,Carvolth Exchange,0
388,1,22nd St Station,1
391,0,Scott Road Station,0
391,1,Scottsdale,1
393,0,Surrey Central Station,0
393,1,Newton Exchange,1
394,0,King George Station,0
394,1,White Rock Centre,1
395,0,Langley Centre,0
395,1,King George Station,1
401,0,Brighouse Station,0
401,1,One Road,1
402,0,Brighouse Station,0
402,1,Two Road,1
403,0,Bridgeport Station,0
403,1,Three Road,1
404,0,Four Road,0
404,1,Brighouse Station,1
405,0,Cambie,0
405,1,Five Road,1
406,0,Brighouse Station,0
406,1,Steveston,1
407,0,Bridgeport,0
407,1,Gilbert,1
408,0,Ironwood/Riverport,0
408,1,Brighouse Station,1
410,0,22nd St Station,0
410,1,Brighouse Station,1
412,0,Bridgeport Station,0
412,1,Sea Island South,1
413,0,Riverport,0
413,1,Steveston,1
414,0,Brighouse Station,0
414,1,Richmond Oval,1
416,0,East Cambie,0
416,1,Brighouse Station,1
418,0,22nd St Station,0
418,1,Kingswood,1
430,0,Metrotown Station,0
430,1,Brighouse Station,1
480,0,Bridgeport Station,0
480,1,UBC,1
501,0,Surrey Central Station,0
501,1,Langley Centre,1
502,0,Langley Centre,0
502,1,Surrey Central Station,1
503,0,Langley Centre/Aldergrove,0
503,1,Surrey Central Station,1
509,0,Walnut Grove,0
509,1,Surrey Central Station,1
531,0,Willowbrook,0
531,1,White Rock Centre,1
555,0,Carvolth Exchange,0
555,1,Lougheed Station,1
560,0,Murrayville,0
560,1,Langley Centre,1
561,0,Brookswood,0
561,1,Langley Centre,1
562,0,Walnut Grove,0
562,1,Langley Centre,1
563,0,Langley Centre,0
563,1,Fernridge,1
564,0,Willowbrook,0
564,1,Langley Centre,1
595,0,Maple Meadows Station,0
595,1,Langley Centre,1
601,0,Bridgeport Station,0
601,1,South Delta,1
602,0,Bridgeport Station,0
602,1,Tsawwassen Heights,1
603,0,South Delta Exchange/Bridgeport Station,0
603,1,Beach Grove,1
604,0,Bridgeport Station,0
604,1,English Bluff,1
606,0,Ladner Ring to Ladner Exchange,0
606,1,Ladner Ring to West Ladner,1
608,0,Ladner Ring to Ladner Exchange,0
608,1,Ladner Ring to West Ladner,1
609,0,Ladner Exchange,0
609,1,South Delta Exchange,1
614,0,South Delta Exchange,0
614,1,English Bluff,1
616,0,Ladner Exchange,0
616,1,Ladner South,1
618,0,Ladner North,0
618,1,Ladner Exchange,1
619,0,South Delta Exchange,0
619,1,Boundary Bay,1
620,0,Bridgeport Station,0
620,1,Tsawwassen Ferry,1
640,0,Scott Road Station,0
640,1,Ladner Exchange,1
701,0,Haney Place/Maple Ridge East,0
701,1,Coquitlam Central Station,1
719,0,Meadowtown,0
719,1,Fraser Way,1
722,0,Meadowtown,0
722,1,Bonson,1
733,0,Rock Ridge,0
733,1,Haney Place,1
741,0,Anderson Creek,0
741,1,Haney Place,1
743,0,Haney Place,0
743,1,Meadowtown,1
744,0,Haney Place,0
744,1,Meadowtown,1
745,0,Cottonwood,0
745,1,Haney Place,1
746,0,Albion,0
746,1,Haney Place,1
748,0,Thornhill,0
748,1,Haney Place,1
749,0,Ruskin,0
749,1,Haney Place,1
791,0,Haney Place,0
791,1,Braid Station,1
840,1,Brookswood Special,1
848,1,Port Moody Secondary,1
855,0,Elgin Park Special,0
855,1,Southpoint Special,1
861,0,Port Coquitlam Centre,0
861,1,Port Coquitlam South,1
863,0,Terry Fox Secondary,0
864,1,Newton Exchange Special,1
865,1,Haney Place Special,1
880,0,Windsor Secondary,0
880,1,Capilano University,1
881,0,Carson Graham Secondary,0
881,1,Pemberton Heights,1
894,0,Surrey Central Station,0
894,1,King George Station,1
N10,0,YVR-Downtown NightBus,0
N10,1,YVR-Brighouse Station NightBus,1
N15,0,Downtown NightBus,0
N15,1,Cambie NightBus,1
N17,0,Downtown NightBus,0
N17,1,UBC NightBus,1
N19,0,Surrey Central Station NightBus,0
N19,1,Downtown NightBus,1
N20,0,Downtown NightBus,0
N20,1,Victoria NightBus,1
N22,0,Downtown NightBus,0
N22,1,Macdonald NightBus,1
N24,0,Lynn Valley NightBus,0
N24,1,Downtown NightBus,1
N35,0,SFU NightBus,0
N35,1,Downtown NightBus,1
N8,0,Fraser NightBus,0
N8,1,Downtown NightBus,1
N9,0,Coquitlam Central Station NightBus,0
N9,1,Downtown NightBus,1
Canada Line,0,Northbound,0
Canada Line,1,Southbound,1
Expo Line,0,Eastbound,0
Expo Line,1,Westbound,1
Millennium Line,0,Eastbound,0
Millennium Line,1,Westbound,1
WCE,0,Mission City,0
WCE,1,Waterfront,1
SeaBus,0,Lonsdale Quay,0
SeaBus,1,Waterfront,1
R1,0,King George Blvd to Guildford,0
R1,1,King George Blvd to Newton Exchange,1
R2,0,Marine Drive to Phibbs Exchange,0
R2,1,Marine Drive to Park Royal,1
R3,0,Lougheed Hwy to Haney Place,0
R3,1,Lougheed Hwy to Coq Ctrl Station,1
R4,0,41st Ave to Joyce Station,0
R4,1,41st Ave to UBC,1
R5,0,Hastings St to SFU,0
R5,1,Hastings St to Burrard Station,1
R6,0,Scott Rd to Scott Road Station,0
R6,1,Scott Rd to Newton Exchange,1
900,0,Bike Bus to Bridgeport Station,0
900,1,Bike Bus to Tsawwassen Ferry,1
