direction,direction_id,route_id,route_short_name
SOUTH,1,6707,324
NORTH,0,6708,325
SOUTH,1,6708,325
EAST,0,6709,326
WEST,1,6709,326
NORTH,0,6710,329
SOUTH,1,6710,329
EAST,0,6712,335
WEST,1,6712,335
EAST,0,17707,337
WEST,1,17707,337
EAST,0,6713,340
WEST,1,6713,340
NORTH,0,8290,341
SOUTH,1,8290,341
EAST,0,29038,342
WEST,1,29038,342
NORTH,0,6714,345
SOUTH,1,6714,345
EAST,0,40855,350
WEST,1,40855,350
NORTH,0,6715,351
SOUTH,1,6715,351
NORTH,0,6716,352
SOUTH,1,6716,352
NORTH,0,6717,354
SOUTH,1,6717,354
EAST,0,31816,360
WEST,1,31816,360
EAST,0,31817,361
WEST,1,31817,361
NORTH,0,31818,362
SOUTH,1,31818,362
NORTH,0,31819,363
SOUTH,1,31819,363
EAST,0,11692,364
WEST,1,11692,364
EAST,0,8286,370
WEST,1,8286,370
EAST,0,6818,371
WEST,1,6818,371
EAST,0,31820,372
WEST,1,31820,372
EAST,0,6819,373
WEST,1,6819,373
NORTH,0,7321,375
SOUTH,1,7321,375
EAST,0,11693,388
WEST,1,11693,388
NORTH,0,6718,391
SOUTH,1,6718,391
NORTH,0,6719,393
SOUTH,1,6719,393
NORTH,0,6720,394
SOUTH,1,6720,394
EAST,0,6721,395
WEST,1,6721,395
EAST,0,6722,401
WEST,1,6722,401
NORTH,0,6723,402
SOUTH,1,6723,402
NORTH,0,6724,403
SOUTH,1,6724,403
EAST,0,6725,404
WEST,1,6725,404
NORTH,0,6726,405
SOUTH,1,6726,405
NORTH,0,34542,406
SOUTH,1,34542,406
NORTH,0,6727,407
SOUTH,1,6727,407
EAST,0,34543,408
WEST,1,34543,408
EAST,0,6728,410
WEST,1,6728,410
EAST,0,6827,412
WEST,1,6827,412
EAST,0,6828,413
WEST,1,6828,413
EAST,0,13684,414
WEST,1,13684,414
EAST,0,6829,416
WEST,1,6829,416
NORTH,0,9745,418
SOUTH,1,9745,418
EAST,0,6730,430
WEST,1,6730,430
NORTH,0,6737,501
SOUTH,1,6737,501
EAST,0,6738,502
WEST,1,6738,502
EAST,0,23384,503
WEST,1,23384,503
EAST,0,6739,509
WEST,1,6739,509
NORTH,0,18705,531
SOUTH,1,18705,531
EAST,0,20667,555
WEST,1,20667,555
EAST,0,34044,560
WEST,1,34044,560
EAST,0,34045,561
WEST,1,34045,561
NORTH,0,6814,562
SOUTH,1,6814,562
NORTH,0,6815,563
SOUTH,1,6815,563
EAST,0,6816,564
WEST,1,6816,564
NORTH,0,12940,595
SOUTH,1,12940,595
NORTH,0,6741,601
SOUTH,1,6741,601
NORTH,0,6742,602
SOUTH,1,6742,602
NORTH,0,6743,603
SOUTH,1,6743,603
NORTH,0,6744,604
SOUTH,1,6744,604
EAST,0,6745,606
WEST,1,6745,606
EAST,0,6746,608
WEST,1,6746,608
NORTH,0,11696,609
SOUTH,1,11696,609
NORTH,0,6843,614
SOUTH,1,6843,614
EAST,0,6823,616
WEST,1,6823,616
NORTH,0,6825,618
SOUTH,1,6825,618
NORTH,0,6844,619
SOUTH,1,6844,619
NORTH,0,6747,620
SOUTH,1,6747,620
NORTH,0,6748,640
SOUTH,1,6748,640
EAST,0,6749,701
WEST,1,6749,701
NORTH,0,34540,719
SOUTH,1,34540,719
NORTH,0,34541,722
SOUTH,1,34541,722
NORTH,0,31821,733
SOUTH,1,31821,733
NORTH,0,31822,741
SOUTH,1,31822,741
EAST,0,6799,743
WEST,1,6799,743
EAST,0,6800,744
WEST,1,6800,744
EAST,0,34042,745
WEST,1,34042,745
EAST,0,34043,746
WEST,1,34043,746
EAST,0,6804,748
WEST,1,6804,748
EAST,0,6805,749
WEST,1,6805,749
EAST,0,7224,791
WEST,1,7224,791
NORTH,0,29040,840
SOUTH,1,29040,840
EAST,0,6753,848
WEST,1,6753,848
EAST,0,6754,855
WEST,1,6754,855
NORTH,0,6755,861
SOUTH,1,6755,861
NORTH,0,6757,863
SOUTH,1,6757,863
EAST,0,29039,864
WEST,1,29039,864
EAST,0,8289,865
WEST,1,8289,865
EAST,0,6761,880
WEST,1,6761,880
EAST,0,6762,881
WEST,1,6762,881
NORTH,0,6763,890
SOUTH,1,6763,890
EAST,0,6764,891
WEST,1,6764,891
EAST,0,6765,892
WEST,1,6765,892
EAST,0,6766,893
WEST,1,6766,893
NORTH,0,6767,894
SOUTH,1,6767,894
EAST,0,6768,895
WEST,1,6768,895
NORTH,0,44845,900
SOUTH,1,44845,900
NORTH,0,13686,980
SOUTH,1,13686,980
EAST,0,30052,991
WEST,1,30052,991
EAST,0,30053,992
WEST,1,30053,992
EAST,0,6770,997
WEST,1,6770,997
NORTH,0,6771,998
SOUTH,1,6771,998
NORTH,0,6830,N10
SOUTH,1,6830,N10
NORTH,0,6831,N15
SOUTH,1,6831,N15
EAST,0,6833,N17
WEST,1,6833,N17
EAST,0,6834,N19
WEST,1,6834,N19
NORTH,0,6835,N20
SOUTH,1,6835,N20
NORTH,0,6836,N22
SOUTH,1,6836,N22
NORTH,0,6837,N24
SOUTH,1,6837,N24
EAST,0,6838,N35
WEST,1,6838,N35
EAST,0,6840,N8
WEST,1,6840,N8
EAST,0,6841,N9
WEST,1,6841,N9
NORTH,0,37808,R1
SOUTH,1,37808,R1
EAST,0,38311,R2
WEST,1,38311,R2
EAST,0,37809,R3
WEST,1,37809,R3
EAST,0,37810,R4
WEST,1,37810,R4
EAST,0,37807,R5
WEST,1,37807,R5
NORTH,0,46604,R6
SOUTH,1,46604,R6
